SDB|CCI|CCIBLDI |EVENT TRACKER FLAT FILE INPUT FILE                |INPUT |DISK   |QSAM|VARIABLE|20164|CCIBLDI |VB |00000|N
SDB|CCI|CCIBLDO |EVENT TRACKER FLAT FILE OUTPUT FILE               |OUTPUT|DISK   |QSAM|VARIABLE|20168|CCIBLDO |VB |32760|N
SDB|CCI|CCICABL |EVENT TRACKER LIST OF CABINETS                    |INPUT |READER |QSAM|FIXED   |00080|CCICABL |FB |00000|N
SDB|CCI|CCICARDI|EVENT TRACKER ADHOC PARM CARDS INPUT FILE         |INPUT |DISK   |QSAM|FIXED   |00080|CCICARDI|FB |00000|N
SDB|CCI|CCICARDO|80 BYTE CARDO OUTPUT EVENT TRACKER                |OUTPUT|DISK   |QSAM|FIXED   |00080|CCICARDO|FB |00000|N
SDB|CCI|CCICISI |CABINET MAINT FILE FROM CIS                       |INPUT |DISK   |QSAM|FIXED   |00108|CCICISI |F  |00000|N
SDB|CCI|CCICOPY |80 BYTE CARD FOR ADHOC COPYBOOK STRUCTURES        |OUTPUT|DISK   |QSAM|FIXED   |00080|CCICOPY |FB |00000|N
SDB|CCI|CCICSVI |EVENT TRACKER COMMA SEPERATED EVENT INPUT FILE    |INPUT |DISK   |BSAM|VARIABLE|12270|CCICSVI |VB |32760|N
SDB|CCI|CCICSVO |EVENT TRACKER COMMA SEPERATED EVENT INPUT FILE    |OUTPUT|DISK   |BSAM|VARIABLE|12270|CCICSVO |VB |32760|N
SDB|CCI|CCIDDL  |80 BYTE CARD FOR ADHOC DDL STRUCTURES             |OUTPUT|DISK   |QSAM|FIXED   |00080|CCIDDL  |FB |00000|N
SDB|CCI|CCIDELO |EVENT TRACKER ARCHIVE CLEAN-UP DELETE CARDS       |OUTPUT|DISK   |QSAM|FIXED   |00080|CCIDELO |FB |00000|N
SDB|CCI|CCIICRD |ET BATCH SET SYSIN SAM DATABASE                   |INPUT |READER |QSAM|FIXED   |00080|CCIICRD |FB |00000|N
SDB|CCI|CCIPRINT|CCI GENERAL BTCH REPORT OUTPUT (ASCI CAR CNTL)    |OUTPUT|PRINTER|QSAM|FIXED   |00133|CCIPRINT|FBA|00000|N
SDB|CCI|CCIRPTI |EVENT TRACKER REPORT DATA STRINGS                 |INPUT |DISK   |QSAM|VARIABLE|01014|CCIRPTI |VB |00000|N
SDB|CCI|CCIRPTO |EVENT TRACKER REPORT DATA STRINGS                 |OUTPUT|DISK   |QSAM|VARIABLE|01014|CCIRPTO |VB |00000|A
SDB|CCI|CCITAOO |EVENT TRACKER FETAO TABLE INSERT FILE             |INPUT |DISK   |QSAM|FIXED   |00293|CCITAOO |FB |00000|N
SDB|RCS|CCLOGD  |RELEASE CONTROL SYSTEM LOG DELETE FILE..WRAP OUT  |OUTPUT|DISK   |QSAM|VARIABLE|32756|CCLOGD  |VB |00000|N
SDB|RCS|CCLOGI  |RELEASE CONTROL SYSTEM SEQ LOG FILE ...WRAP IN    |INPUT |DISK   |QSAM|VARIABLE|32756|CCLOGI  |VB |00000|N
SDB|RCS|CCLOGO  |RELEASE CONTROL SYSTEM LOG FILE..WRAP OUT         |OUTPUT|DISK   |QSAM|VARIABLE|32756|CCLOGO  |VB |00000|N
SDB|CCS|CCMIN   |CHANGE CONTROL SYSTEM REPORTING FILE              |INPUT |DISK   |QSAM|FIXED   |00421|CCMIN   |   |00000| 
SDB|CCS|CCMOUT  |CHANGE CONTROL UTILITY SEQ FILE...                |OUTPUT|DISK   |QSAM|FIXED   |00421|CCMOUT  |   |00000| 
SDB|UMB|CCPRPTO |LITERAL CONVERSION CCP PROCESSING REPORT          |OUTPUT|PRINTER|QSAM|FIXED   |00133|CCPRPTO |FBA|00000| 
SDB|CCS|CCSIN   |CHANGE CONTROL 80 BYTE INPUT CTL CARDS            |INPUT |DISK   |QSAM|FIXED   |00080|CCSIN   |   |00000| 
SDB|UMB|CCSOUT  |CHANGE CONTROL SYSTEM 80 BYTE OUTPUT CTL CARDS    |OUTPUT|DISK   |QSAM|FIXED   |00080|CCSOUT  |   |00000| 
SDB|UMB|CCSOUTS |CHANGE CONTROL SYSTEM 80 BYTE OUTPUT CTL CARDS    |OUTPUT|DISK   |QSAM|FIXED   |00080|CCSOUT2 |   |00000|N
SDB|UMB|CCSOUT2 |CHANGE CONTROL SYSTEM 80 BYTE OUTPUT CTL CARDS    |OUTPUT|DISK   |QSAM|FIXED   |00080|CCSOUT2 |   |00000|N
SDB|RCS|CCTRANS |CHANGE CONTROL SYSTEM                             |INPUT |DISK   |QSAM|FIXED   |00168|CCTRANS |   |00000| 
SDB|RCS|CCTRANSO|CCS WORK FILE FOR DAILY BATCH UPDATE              |OUTPUT|DISK   |QSAM|FIXED   |00168|CCTRANSO|   |00000| 
SDB|CCS|CCTRANSQ|CCS DAILY WORK FILE (NIGHTLY UPDATE)              |INPUT |DISK   |QSAM|FIXED   |00168|CCTRANSQ|   |00000| 
SDB|CCS|CCTXNS  |CCS WORK FILE FOR DAILY UPDATE (BAATCH)           |OUTPUT|DISK   |QSAM|VARIABLE|32756|CCTXNS  |VB |00000|N
SDB|RCS|CCTXNSI |CCS WORK FILE                                     |INPUT |DISK   |QSAM|VARIABLE|32756|CCTXNSI |VB |00000|N
SDB|RCS|CCTXNSIN|RCS LOAD FILE                                     |INPUT |DISK   |QSAM|VARIABLE|32756|CCTXNSI |VB |00000|N
SDB|CCS|CCVIN   |CCS WORK FILE                                     |INPUT |DISK   |QSAM|VARIABLE|01335|CCVIN   |VB |00000| 
SDB|CCS|CCVOUT  |CCS WORK FILE                                     |OUTPUT|DISK   |QSAM|VARIABLE|01335|CCVOUT  |VB |00000| 
SDB|CCS|CCWORK  |CCMSTR EXTRACT WORK FILE                          |OUTPUT|DISK   |QSAM|FIXED   |00550|CCWORK  |   |00000|N
SDB|UMB|CDM$ICST|CDMF D/R INPUT OF STANDARD TO RCS COMPARATOR      |INPUT |TAPE   |QSAM|VARIABLE|32756|CDMFICST|   |00000| 
SDB|UMB|CDM$SDBI|CDMF D/R DUMP FILE                                |INPUT |TAPE   |QSAM|VARIABLE|32756|CDMFBKUP|   |00000| 
SDB|UMB|CDM$SDBO|CDMF DUMP/RESTORE DUMP FILE OUTPUT                |OUTPUT|TAPE   |QSAM|VARIABLE|32756|CDMFBKUP|   |00000| 
SDB|UMB|CDM$SD2I|CDMF D/R PHASE 2 INPUT FILE                       |INPUT |DISK   |QSAM|VARIABLE|10264|CDMFBK2P|   |00000| 
SDB|UMB|CDM$SD2O|CDMF D/R PHASE 2 FILE                             |OUTPUT|DISK   |BSAM|VARIABLE|10264|CDMFBK2P|   |00000| 
SDB|UMB|CDM$SD3O|CDMF Dump/Restore selective gen(OUTPUT)           |OUTPUT|DISK   |BSAM|VARIABLE|10264|CDMFSGEN|   |00000|N
SDB|UMB|CDMFBOOT|BOOT CONTROL CARD WORK FILE (CDMF BOOT MODULE)    |OUTPUT|DISK   |QSAM|FIXED   |00080|CDMFBOOT|FB |00000|N
SDB|UMB|CDRFILE1|CDMF D/R DUMP FILE 1 FOR COMPARASION (U48217)     |INPUT |TAPE   |QSAM|VARIABLE|32006|CDRFILE1|   |00000| 
